[2024-11-22 16:46:59] slim-app.INFO: Slim-Skeleton '/'  [] {"uid":"86a6c29"}
[2024-11-22 16:47:00] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"ca4392e"}
[2024-11-22 16:52:39] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"7497dfd"}
[2024-11-22 16:52:43] slim-app.INFO: Slim-Skeleton 'usuario/login/' 1 [] {"uid":"e445ada"}
[2024-11-22 16:53:25] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"8a6d68f"}
[2024-11-22 16:53:31] slim-app.INFO: Slim-Skeleton 'usuario/login/' 1 [] {"uid":"b444f50"}
[2024-11-22 16:53:53] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"e284acc"}
[2024-11-22 16:57:36] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"3d58f24"}
[2024-11-22 16:57:51] slim-app.INFO: Slim-Skeleton 'usuario/login/' 1 [] {"uid":"a243ad4"}
[2024-11-22 16:57:51] slim-app.INFO: Slim-Skeleton '/' beneficiarios [] {"uid":"02e17e8"}
[2024-11-22 16:57:58] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"6184e13"}
[2024-11-22 16:59:33] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"6ed0703"}
[2024-11-22 16:59:37] slim-app.INFO: Slim-Skeleton 'usuario/login/' 1 [] {"uid":"eae389d"}
[2024-11-22 16:59:37] slim-app.INFO: Slim-Skeleton '/' beneficiarios [] {"uid":"c9451a1"}
[2024-11-22 17:04:24] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"4879a54"}
[2024-12-09 17:10:14] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"8e19ae1"}
[2024-12-26 09:40:41] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"bd49ec6"}
[2024-12-26 09:45:49] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"408403e"}
[2025-01-13 12:07:55] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"cf0ad1e"}
[2025-01-13 12:08:04] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"6f50e25"}
[2025-02-05 16:57:09] slim-app.INFO: Slim-Skeleton '/' login [] {"uid":"c1202a2"}
[2025-02-05 16:57:14] slim-app.INFO: Slim-Skeleton 'usuario/login/' 1 [] {"uid":"fd5dd73"}
